marca,modelo,anio,precio_tope
Toyota,Corolla,2025,34900
Toyota,Corolla,2024,39000
Toyota,Corolla,2022,36800
Toyota,Corolla,2020,33000
Toyota,Corolla,2017,28900
Toyota,Corolla,2016,27400
Toyota,Corolla,2015,25000
Toyota,Corolla,2014,24900
Toyota,Corolla,2013,19800
Toyota,Corolla,2012,23700
Toyota,Corolla,2011,23700
Toyota,Corolla,2010,16500
Toyota,Corolla,2009,15700
Toyota,Corolla,2008,14600
Toyota,Corolla,2006,13000
Toyota,Corolla,2005,11500
Toyota,4Runner,2025,115000
Toyota,4Runner,2025,145000
Toyota,4Runner,2024,98000
Toyota,4Runner,2019,65000
Toyota,4Runner,2017,66900
Toyota,4Runner,2016,55900
Toyota,4Runner,2015,42610
Toyota,4Runner,2014,41900
Toyota,4Runner,2008,29500
Toyota,4Runner,2007,32000
Toyota,4Runner,2006,26000
Toyota,Hilux,2025,44900
Toyota,Hilux,2024,74500
Toyota,Hilux,2017,48990
Toyota,Hilux,2015,46000
Toyota,Hilux,2014,35900
Toyota,Hilux,2012,33499
Toyota,Hilux,2011,32999
Toyota,Hilux,2009,32000
Toyota,Hilux,2008,25900
Toyota,Hilux,2007,23999
Toyota,Hilux,2006,23900
Toyota,Machito,2025,122500
Toyota,Machito,2025,89999
Toyota,Machito,2024,95000
Toyota,Machito,2023,77500
Toyota,Machito,2021,67500
Toyota,Machito,2010,27000
Toyota,Machito,2008,29500
Toyota,Machito,2007,28000
Toyota,Machito,2000,19500
Toyota,Merú,2009,24500
Toyota,Merú,2008,20000
Toyota,Merú,2007,21500
Toyota,Merú,2006,22700
Toyota,Merú,2005,17500
Chevrolet,Silverado,2020,70800
Chevrolet,Silverado,2016,27000
Chevrolet,Silverado,2015,24500
Chevrolet,Silverado,2014,22500
Chevrolet,Silverado,2013,18500
Chevrolet,Silverado,2012,24000
Chevrolet,Silverado,2011,18600
Chevrolet,Silverado,2010,26900
Chevrolet,Silverado,2009,15900
Chevrolet,Silverado,2008,19000
Chevrolet,Silverado,2005,10500
Chevrolet,Silverado,2000,10500
Chevrolet,Tahoe,2014,23800
Chevrolet,Tahoe,2013,26000
Chevrolet,Tahoe,2012,24900
Chevrolet,Aveo,2014,13800
Chevrolet,Aveo,2013,14200
Chevrolet,Aveo,2012,12600
Chevrolet,Aveo,2011,11500
Chevrolet,Aveo,2010,9000
Chevrolet,Aveo,2009,8700
Chevrolet,Aveo,2008,6900
Chevrolet,Aveo,2007,8800
Chevrolet,Aveo,2005,7900
Chevrolet,Spark,2022,17400
Chevrolet,Spark,2013,6300
Chevrolet,Spark,2009,6900
Chevrolet,Optra,2011,10500
Chevrolet,Optra,2010,8400
Chevrolet,Optra,2009,7600
Chevrolet,Optra,2008,8400
Chevrolet,Optra,2007,7300
Ford,Explorer,2025,92500
Ford,Explorer,2021,50000
Ford,Explorer,2019,41500
Ford,Explorer,2017,17800
Ford,Explorer,2016,35000
Ford,Explorer,2014,24500
Ford,Explorer,2013,23900
Ford,Explorer,2012,22900
Ford,Explorer,2011,16000
Ford,Explorer,2010,11500
Ford,Explorer,2009,11999
Ford,Explorer,2008,10200
Ford,Explorer,2007,9500
Ford,EcoSport,2016,15500
Ford,EcoSport,2015,16900
Ford,EcoSport,2014,14999
Ford,EcoSport,2014,15500
Ford,EcoSport,2008,6999
Ford,EcoSport,2007,8500
Ford,EcoSport,2006,7890
Ford,Fiesta,2018,15800
Ford,Fiesta,2017,15990
Ford,Fiesta,2016,13990
Ford,Fiesta,2015,11900
Ford,Fiesta,2014,12800
Ford,Fiesta,2012,10000
Ford,Fiesta,2011,10500
Ford,Fiesta,2009,8800
Ford,Fiesta,2008,7000
Ford,Fiesta,2005,6500
Ford,F-150,2024,85000
Ford,F-150,2019,60000
Ford,F-150,2017,42900
Ford,F-150,2014,21900
Ford,F-150,2008,16790
Ford,F-150,2007,17900
Ford,F-150,2007,14799
Ford,F-150,2006,11990
Ford,F-150,2005,9900
